LOCA	parcelle	num.tree2	num.trap	id.trap	strate	prop.trap.season	ab.colsx	sr.colsx	ab.colsxrar	sr.colsxrar	ab.colsxcom	sr.colsxcom	ab.cav	sr.cav	ab.fon	sr.fon	ab.fonspe	sr.fonspe	ab.suc	sr.suc	ab.lig	sr.lig	ab.flo	sr.flo	ab.pho	sr.pho	ab.myc	sr.myc	ab.xyl	sr.xyl	ab.sxy	sr.sxy	ab.zoo	sr.zoo	ab.cavspe	sr.cavspe	CWM_diam	CWM_canop	CWM_decay	CWM_size	FD_diam	FD_canop	FD_decay	FD_size	ab.colsxrsx	sr.colsxrsx
Vierzon	63	13	4	Vierzon134	infra 	0.7195801	93	34	13	4	64	27	4	4	34	11	3	2	2	1	89	31	6	5	1	1	11	6	60	12	9	7	10	7	0	0	2.284731183	1.443010753	2.255053763	4.683870968	0.526216617	0.46046719	0.501586531	0.484828947	0	0
Vierzon	71	14	1	Vierzon141	supra 	1	205	65	8	5	157	54	36	11	106	25	11	4	5	4	191	59	45	16	3	2	80	13	49	20	42	13	25	12	1	1	2.141219512	1.600487805	2.687463415	4.182926829	0.489603812	0.580084713	0.756230654	0.466374462	14	8
Vierzon	71	14	2	Vierzon142	intra.sup	1	455	76	42	8	357	61	101	20	162	28	14	6	3	2	430	67	137	26	12	4	114	16	60	19	97	20	172	17	2	2	2.251714286	1.653846154	3.042923077	6.820879121	0.440457935	0.797357036	0.687525118	0.717380527	3	3
Vierzon	71	14	3	Vierzon143	intra.inf	1	391	84	28	6	184	70	97	30	260	32	19	9	6	3	367	73	84	24	8	3	211	21	28	13	69	27	75	20	1	1	2.283682864	1.719309463	2.996521739	4.16112532	0.510736444	0.595942664	0.65449235	0.504203409	2	2
Vierzon	71	14	4	Vierzon144	infra 	1	203	51	4	4	142	44	85	17	144	26	16	6	4	3	184	44	24	9	3	1	85	15	26	12	63	12	25	10	0	0	2.437832512	1.732758621	3.058128079	3.922167488	0.562241006	0.645589651	0.88693879	0.366901863	1	1
Vierzon	170	15	1	Vierzon151	supra 	0.701037346	120	41	5	4	97	33	26	7	49	16	3	3	3	1	113	35	45	10	4	3	40	10	23	11	16	8	37	9	3	2	2.258083333	1.652916667	2.879	4.999166667	0.430816253	0.804729828	0.748850199	0.499859074	4	3
Vierzon	170	15	2	Vierzon152	intra.sup	1	282	85	30	9	221	70	42	19	67	28	5	3	5	3	275	80	84	27	3	3	44	12	88	24	64	22	80	23	1	1	2.179716312	1.460106383	2.666702128	7.45141844	0.608308059	0.574906264	0.873435684	0.73528951	2	2
Vierzon	170	15	3	Vierzon153	intra.inf	0.87468094	127	61	7	6	82	49	32	15	69	25	9	5	7	6	115	54	32	17	3	2	53	15	23	12	31	17	15	13	1	1	2.166456693	1.686614173	2.74511811	4.333070866	0.44716903	0.696797164	0.800340655	0.475558137	1	1
Vierzon	170	15	4	Vierzon154	infra 	1	91	51	2	2	72	44	18	12	43	18	5	2	5	2	82	47	17	14	5	3	28	9	20	11	20	14	18	14	1	1	2.259450549	1.643076923	2.575934066	5.062637363	0.567980202	0.626822136	0.764720163	0.537341565	0	0
Vierzon	179	16	1	Vierzon161	supra 	1	267	60	30	7	210	47	44	11	89	17	6	2	1	1	259	56	100	16	2	2	79	12	98	20	46	11	42	15	1	1	2.213670412	1.529213483	2.54835206	7.758426966	0.423837609	0.669874267	0.815179056	0.999249013	6	3
